,Rank within filtered selection,Nationwide rank,Zip code,City,Metro area,County,State,Total population,Population per sq. mi.,Per capita income,Median household income,Median home value,Poverty rate,Median age,Sq. mi.,Homeownership rate,"County, state"
457,169.0,169.0,55401,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,MN,11816,14933.12629613762,112103.0,113522.0,396500.0,0.0472915605365936,35.2,0.7912609701195757,0.2579453067257945,"Hennepin County, MN"
464,170.0,170.0,19066,Merion Station,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,PA,5839,4381.179671817507,102205.0,250001.0,879700.0,0.0527527335507385,41.7,1.332746072378658,0.8585472419442928,"Montgomery County, PA"
467,171.0,171.0,10708,Bronxville,"New York-Newark-Jersey City, NY-NJ",Westchester County,NY,22482,7664.450339619751,93463.0,126343.0,511200.0,0.0709419219591214,42.0,2.9332827539874673,0.7190148569149467,"Westchester County, NY"
475,172.0,172.0,22027,Dunn Loring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,VA,1939,3043.2156887697133,116435.0,250001.0,1097500.0,0.0481341265548945,51.4,0.6371549697103077,0.9514415781487102,"Fairfax County, VA"
482,173.0,173.0,60521,Hinsdale,"Chicago-Naperville-Elgin, IL-IN",DuPage County,IL,18056,3817.6193265753145,119640.0,249200.0,1032800.0,0.0285633802816901,42.3,4.729649149224515,0.813489646772229,"DuPage County, IL"
485,174.0,174.0,94925,Corte Madera,"San Francisco-Oakland-Fremont, CA",Marin County,CA,10077,3137.9233591214743,126428.0,232763.0,1755200.0,0.0463431576858191,45.9,3.211359503318546,0.6660273315751618,"Marin County, CA"
488,175.0,175.0,02481,Wellesley Hills,"Boston-Cambridge-Newton, MA-NH",Norfolk County,MA,17415,2859.783974278054,121763.0,250001.0,1694600.0,0.0237394677009495,36.7,6.089620809346754,0.8554724937703662,"Norfolk County, MA"
494,176.0,176.0,92782,Tustin,"Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,30073,5816.978292298181,76820.0,146080.0,1149200.0,0.0713524672038356,39.9,5.16986629292005,0.5764795016415524,"Orange County, CA"
495,177.0,177.0,07661,River Edge,"New York-Newark-Jersey City, NY-NJ",Bergen County,NJ,12091,6621.606256400259,75927.0,159028.0,660300.0,0.0435034323050202,43.6,1.8259919922470744,0.7477124183006536,"Bergen County, NJ"
500,178.0,178.0,33767,Clearwater Beach,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,FL,8081,4025.6524349957735,102924.0,117425.0,757800.0,0.0538299715381759,64.5,2.0073764763570514,0.4250169644876724,"Pinellas County, FL"
