ZIP,CBSA,CBSA_NAME,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
7018,35620,"New York-Newark-Jersey City, NY-NJ",EAST ORANGE,NJ,1,1,1,1
7019,35620,"New York-Newark-Jersey City, NY-NJ",EAST ORANGE,NJ,1,1,1,1
7020,35620,"New York-Newark-Jersey City, NY-NJ",EDGEWATER,NJ,1,1,1,1
7021,35620,"New York-Newark-Jersey City, NY-NJ",ESSEX FELLS,NJ,1,1,1,1
7022,35620,"New York-Newark-Jersey City, NY-NJ",FAIRVIEW,NJ,1,1,1,1
7023,35620,"New York-Newark-Jersey City, NY-NJ",FANWOOD,NJ,1,1,1,1
7024,35620,"New York-Newark-Jersey City, NY-NJ",FORT LEE,NJ,1,1,1,1
7026,35620,"New York-Newark-Jersey City, NY-NJ",GARFIELD,NJ,1,1,1,1
7027,35620,"New York-Newark-Jersey City, NY-NJ",GARWOOD,NJ,1,1,1,1
7028,35620,"New York-Newark-Jersey City, NY-NJ",GLEN RIDGE,NJ,1,1,1,1
7029,35620,"New York-Newark-Jersey City, NY-NJ",HARRISON,NJ,1,1,1,1
7030,35620,"New York-Newark-Jersey City, NY-NJ",HOBOKEN,NJ,1,1,1,1
7031,35620,"New York-Newark-Jersey City, NY-NJ",NORTH ARLINGTON,NJ,1,1,1,1
7032,35620,"New York-Newark-Jersey City, NY-NJ",KEARNY,NJ,1,1,1,1
7033,35620,"New York-Newark-Jersey City, NY-NJ",KENILWORTH,NJ,1,1,1,1
7034,35620,"New York-Newark-Jersey City, NY-NJ",LAKE HIAWATHA,NJ,1,1,1,1
7035,35620,"New York-Newark-Jersey City, NY-NJ",LINCOLN PARK,NJ,1,1,1,1
7036,35620,"New York-Newark-Jersey City, NY-NJ",LINDEN,NJ,1,1,1,1
7039,35620,"New York-Newark-Jersey City, NY-NJ",LIVINGSTON,NJ,1,1,1,1
7040,35620,"New York-Newark-Jersey City, NY-NJ",MAPLEWOOD,NJ,1,1,1,1
7041,35620,"New York-Newark-Jersey City, NY-NJ",MILLBURN,NJ,1,1,1,1
7042,35620,"New York-Newark-Jersey City, NY-NJ",MONTCLAIR,NJ,1,1,1,1
7043,35620,"New York-Newark-Jersey City, NY-NJ",MONTCLAIR,NJ,1,1,1,1
7044,35620,"New York-Newark-Jersey City, NY-NJ",VERONA,NJ,1,1,1,1
7045,35620,"New York-Newark-Jersey City, NY-NJ",MONTVILLE,NJ,1,1,1,1
7046,35620,"New York-Newark-Jersey City, NY-NJ",MOUNTAIN LAKES,NJ,1,1,1,1
7047,35620,"New York-Newark-Jersey City, NY-NJ",NORTH BERGEN,NJ,1,1,1,1
7050,35620,"New York-Newark-Jersey City, NY-NJ",ORANGE,NJ,1,1,1,1
7051,35620,"New York-Newark-Jersey City, NY-NJ",ORANGE,NJ,1,1,1,1
7052,35620,"New York-Newark-Jersey City, NY-NJ",WEST ORANGE,NJ,1,1,1,1
7054,35620,"New York-Newark-Jersey City, NY-NJ",PARSIPPANY,NJ,1,1,1,1
7055,35620,"New York-Newark-Jersey City, NY-NJ",PASSAIC,NJ,1,1,1,1
7057,35620,"New York-Newark-Jersey City, NY-NJ",WALLINGTON,NJ,1,1,1,1
7058,35620,"New York-Newark-Jersey City, NY-NJ",PINE BROOK,NJ,1,1,1,1
7059,35620,"New York-Newark-Jersey City, NY-NJ",WARREN,NJ,1,1,1,1
7060,35620,"New York-Newark-Jersey City, NY-NJ",PLAINFIELD,NJ,1,1,1,1
7061,35620,"New York-Newark-Jersey City, NY-NJ",PLAINFIELD,NJ,1,1,1,1
7062,35620,"New York-Newark-Jersey City, NY-NJ",PLAINFIELD,NJ,1,1,1,1
7063,35620,"New York-Newark-Jersey City, NY-NJ",PLAINFIELD,NJ,1,1,1,1
7064,35620,"New York-Newark-Jersey City, NY-NJ",PORT READING,NJ,1,1,1,1
7065,35620,"New York-Newark-Jersey City, NY-NJ",RAHWAY,NJ,1,1,1,1
